epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,5144.46,0.51109,0.27927,0.87878,0.98375,1,0.98681,0.86146,0.50198,0.23623,0.88925,0.0006536,0.0006536,0.0006536
104,5193.6,0.51013,0.2802,0.88061,0.97755,1,0.99413,0.8726,0.50451,0.2465,0.88233,0.0006404,0.0006404,0.0006404
105,5243.01,0.50939,0.27516,0.8798,0.98964,0.99745,0.99482,0.88041,0.50261,0.2292,0.88039,0.0006272,0.0006272,0.0006272
106,5292.1,0.51023,0.27959,0.875,0.97457,0.99745,0.98731,0.86315,0.49396,0.25194,0.88096,0.000614,0.000614,0.000614
107,5340.71,0.50464,0.27693,0.87568,0.99057,1,0.9925,0.87849,0.47974,0.23228,0.86366,0.0006008,0.0006008,0.0006008
108,5389.81,0.50639,0.26997,0.87936,0.9823,1,0.98888,0.87334,0.49631,0.24439,0.87262,0.0005876,0.0005876,0.0005876
109,5439.25,0.51106,0.27551,0.88529,0.9924,0.99999,0.99231,0.88327,0.49374,0.23843,0.87301,0.0005744,0.0005744,0.0005744
110,5488.67,0.49273,0.26735,0.86959,0.99249,0.99745,0.99469,0.88644,0.48888,0.23151,0.86578,0.0005612,0.0005612,0.0005612
111,5537.91,0.50618,0.272,0.87426,0.99128,1,0.99001,0.87308,0.49656,0.22323,0.87422,0.000548,0.000548,0.000548
112,5587.58,0.49821,0.26599,0.87499,0.99456,0.99745,0.99282,0.88041,0.49067,0.23495,0.86906,0.0005348,0.0005348,0.0005348
113,5636.86,0.49735,0.26551,0.87338,0.99745,0.99839,0.99492,0.88278,0.49659,0.22915,0.87972,0.0005216,0.0005216,0.0005216
114,5686.07,0.50209,0.26684,0.88304,0.98723,0.9949,0.99403,0.88472,0.48751,0.24311,0.87453,0.0005084,0.0005084,0.0005084
115,5734.85,0.49249,0.26691,0.86959,0.98516,0.9949,0.99385,0.87784,0.49614,0.24549,0.87183,0.0004952,0.0004952,0.0004952
116,5784.25,0.50399,0.26515,0.87522,0.97963,0.99745,0.97794,0.85899,0.49266,0.24958,0.86958,0.000482,0.000482,0.000482
117,5833.5,0.49245,0.2622,0.87552,0.98406,0.99745,0.98989,0.87502,0.48621,0.2332,0.86856,0.0004688,0.0004688,0.0004688
118,5882.4,0.50443,0.26622,0.87921,0.97913,0.9949,0.98938,0.87493,0.49645,0.23039,0.88582,0.0004556,0.0004556,0.0004556
119,5931.21,0.49248,0.26514,0.87525,0.98428,0.99745,0.99397,0.8816,0.50044,0.23139,0.88618,0.0004424,0.0004424,0.0004424
120,5980.47,0.49852,0.26405,0.87762,0.98981,0.99144,0.99345,0.87591,0.50878,0.24395,0.90032,0.0004292,0.0004292,0.0004292
121,6029.99,0.4802,0.25654,0.86641,0.99591,0.99745,0.995,0.88001,0.50484,0.23059,0.87997,0.000416,0.000416,0.000416
122,6079.49,0.47677,0.25193,0.87015,0.97708,1,0.98109,0.85757,0.49898,0.2419,0.87558,0.0004028,0.0004028,0.0004028
